Time Status                  Time                            Error Status
Error Detected               5/19/2016 11:14:49 PM                Internet Connection Lost:Data at the root level is invalid. Line 1, position 1.
Error Detected               5/19/2016 11:14:55 PM                Internet Connection Lost:Data at the root level is invalid. Line 1, position 1.
Error Detected               5/19/2016 11:14:55 PM                Internet Connection Lost:Data at the root level is invalid. Line 1, position 1.
Error Detected               5/19/2016 11:14:55 PM                Internet Connection Lost:Data at the root level is invalid. Line 1, position 1.
Error Detected               5/19/2016 11:15:01 PM                Internet Connection Lost:Data at the root level is invalid. Line 1, position 1.
Error Detected               5/19/2016 11:15:01 PM                Internet Connection Lost:Data at the root level is invalid. Line 1, position 1.
Error Detected               5/19/2016 11:15:03 PM                Internet Connection Lost:The remote server returned an error: (510).
Error Detected               5/19/2016 11:15:17 PM                Internet Connection Lost:Data at the root level is invalid. Line 1, position 1.
Error Detected               5/19/2016 11:15:17 PM                Internet Connection Lost:Data at the root level is invalid. Line 1, position 1.
Error Detected               5/19/2016 11:15:20 PM                Internet Connection Lost:Data at the root level is invalid. Line 1, position 1.
Error Detected               5/19/2016 11:15:20 PM                Internet Connection Lost:Data at the root level is invalid. Line 1, position 1.
Error Detected               5/19/2016 11:15:26 PM                Internet Connection Lost:Data at the root level is invalid. Line 1, position 1.
Error Detected               5/19/2016 11:15:26 PM                Internet Connection Lost:Data at the root level is invalid. Line 1, position 1.
Error Detected               5/19/2016 11:15:32 PM                Internet Connection Lost:Data at the root level is invalid. Line 1, position 1.
Error Detected               5/19/2016 11:15:32 PM                Internet Connection Lost:Data at the root level is invalid. Line 1, position 1.
Error Detected               5/19/2016 11:15:38 PM                Internet Connection Lost:Data at the root level is invalid. Line 1, position 1.
Error Detected               5/19/2016 11:15:38 PM                Internet Connection Lost:Data at the root level is invalid. Line 1, position 1.
Error Detected               5/19/2016 11:15:58 PM                Internet Connection Lost:Data at the root level is invalid. Line 1, position 1.
Error Ended               5/19/2016 11:16:04 PM                Internet Connection Available
Error Detected               5/19/2016 11:37:10 PM                Internet Connection Lost:Data at the root level is invalid. Line 1, position 1.
Error Detected               5/19/2016 11:37:16 PM                Internet Connection Lost:Data at the root level is invalid. Line 1, position 1.
Error Ended               5/19/2016 11:37:22 PM                Internet Connection Available
Error Detected               5/19/2016 11:37:28 PM                Internet Connection Lost:Data at the root level is invalid. Line 1, position 1.
Error Detected               5/19/2016 11:37:28 PM                Internet Connection Lost:Data at the root level is invalid. Line 1, position 1.
Error Detected               5/19/2016 11:37:28 PM                Internet Connection Lost:Data at the root level is invalid. Line 1, position 1.
Error Detected               5/19/2016 11:37:34 PM                Internet Connection Lost:Data at the root level is invalid. Line 1, position 1.
Error Detected               5/19/2016 11:37:34 PM                Internet Connection Lost:Data at the root level is invalid. Line 1, position 1.
Error Detected               5/19/2016 11:37:34 PM                Internet Connection Lost:Data at the root level is invalid. Line 1, position 1.
Error Detected               5/19/2016 11:37:40 PM                Internet Connection Lost:Data at the root level is invalid. Line 1, position 1.
Error Detected               5/19/2016 11:37:40 PM                Internet Connection Lost:Data at the root level is invalid. Line 1, position 1.
Error Detected               5/19/2016 11:37:40 PM                Internet Connection Lost:Data at the root level is invalid. Line 1, position 1.
Error Ended               5/19/2016 11:37:46 PM                Internet Connection Available
Error Detected               5/19/2016 11:38:46 PM                Internet Connection Lost:Data at the root level is invalid. Line 1, position 1.
Error Detected               5/19/2016 11:38:46 PM                Internet Connection Lost:Data at the root level is invalid. Line 1, position 1.
